		Analysemetode_id														Analysemetode_id	BTZ	BTZ	BTZ	BTZ	BTZ	BTZ	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	LEGE	LEGE	PEST	PEST	PEST	SURF	SURF	SURF	SURF	SVOC	SVOC	SVOC	SVOC	BIS	BIS	BIS	BIS	BIS	BIS	BIS	VOC	VOC	VOC	VOC	VOC	VOC	PFAS	PFAS	PFAS	PFAS	PFAS	SIL	SIL	SIL	SIL	SIL	LCCP
NR-2022-06878	Water, total	ng/L	59.883	10.770			29.09.2022	Bekkelaget	Wastewater treatment plant		Summer	High	Summer	column			<1	129.500	<1	<1	12.400	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	128.500	179.000	<1	306.500	<1	<1	<0.1	<10	<1	<10	<1	<1	3.345	0.067	25.804	< 2	0.100	0.300	<0.2	<0.1	<0.1	0.200	0.600												< 2.5	< 30	< 40	< 30	< 20	
NR-2022-06899	Water, total	ng/L	59.883	10.770			03.10.2022	Bekkelaget	Wastewater treatment plant		Autumn	High	Autumn	column			<1	174.500	<1	<1	27.900	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	106.000	166.500	<1	277.500	<1	<1	<0.1	<10	<1	<10	<1	<1	3.479	0.109	29.665	3.150	<0.1	0.100	<1.0	<0.4	<1.6	<0.1	1.000																	
NR-2022-06900	Water, total	ng/L	59.883	10.770			04.10.2022	Bekkelaget	Wastewater treatment plant		Autumn	High	Autumn	column			<1	131.000	<1	<1	15.500	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	84.500	149.000	<1	323.000	<1	<1	<0.1	<10	<1	<10	<1	<1	4.109	0.087	48.006	2.370	<0.1	0.400	<0.4	<0.1	<0.2	<0.2	0.600																	
NR-2022-06901	Water, total	ng/L	59.883	10.770			05.10.2022	Bekkelaget	Wastewater treatment plant		Autumn	High	Autumn	column			<1	131.500	<1	<1	14.200	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	60.800	95.500	<1	262.500	<1	<1	<0.1	<10	<1	<10	<1	<1	4.134	0.111	54.716	2.520	0.100	0.500	<0.2	<0.1	<0.2	0.100	0.600																	
NR-2022-06879	Water, total	ng/L	59.883	10.770			27.09.2022	Bekkelaget	Wastewater treatment plant		Summer	Low	Summer	column			<1	99.500	<1	<1	24.800	<1	<1	<1	<1	<1	<1	<1	20.500	<1	<1	<1	<10	<1	<1	<1	<1	81.200	147.500	11.500	58.500	<1	<1	<0.1	<10	12.000	<10	<1	<1	6.597	0.059	67.877	< 2	<0.1	0.300	5.200	<0.3	<0.1	0.300	3.700												764.743	2380.501	4192.411	5795.569	5519.146	
NR-2022-06880	Water, total	ng/L	59.883	10.770			28.09.2022	Bekkelaget	Wastewater treatment plant		Summer	Low	Summer	column			<1	68.000	<1	<1	18.500	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	43.800	<1	50.500	<1	<1	<0.1	<10	<1	<10	<1	<1	< 0.5	< 0.25	0.298	< 2.5	<0.1	<0.2	5.800	<0.3	<0.7	0.700	2.600												112.775	168.817	217.796	246.476	230.158	
NR-2022-06881	Water, total	ng/L	59.883	10.770			29.09.2022	Bekkelaget	Wastewater treatment plant		Summer	Low	Summer	column			<1	46.500	<1	<1	12.700	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	38.500	<1	69.500	<1	<1	<0.1	<10	<1	<10	<1	<1	< 0.5	< 0.25	0.473	< 2.5	<0.2	1.400	0.400	<0.1	<0.7	0.400	3.200																	
NR-2022-06902	Water, total	ng/L	59.883	10.770			03.10.2022	Bekkelaget	Wastewater treatment plant		Autumn	Low	Autumn	column			<1	37.500	<1	<1	10.500	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	23.500	<1	60.500	<1	<1	<0.1	<10	<1	<10	<1	<1	10.336	0.050	87.240	< 2	<0.1	0.100	0.500	<0.1	<0.3	0.800	4.300																	
NR-2022-06903	Water, total	ng/L	59.883	10.770			04.10.2022	Bekkelaget	Wastewater treatment plant		Autumn	Low	Autumn	column			<1	52.500	<1	<1	15.800	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	20.500	<1	49.500	<1	<1	<0.1	<10	<1	<10	<1	<1	7.215	< 0.025	77.615	6.915	<0.1	0.100	0.200	<0.1	<0.4	1.000	3.000																	
NR-2022-06904	Water, total	ng/L	59.883	10.770			05.10.2022	Bekkelaget	Wastewater treatment plant		Autumn	Low	Autumn	column			<1	43.300	<1	<1	13.800	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	16.500	<1	58.500	<1	<1	<0.1	<10	<1	<10	<1	<1	10.676	< 0.025	78.702	< 2	<0.1	0.400	14.700	0.100	<0.5	0.500	3.400																	
NR-2022-06938	Air	ng/m3	59.883	10.770			26.-27.9.22	Bekkelaget	Wastewater treatment plant		Summer	High	high treatment, summer																																					< 0.025	< 0.05	< 0.025	< 5								2302.570	<300	<210	929.680	<600	<330						707.620	249.256	20.501	1.109	< 0.27	
NR-2022-06939	Air	ng/m3	59.883	10.770			27.-28.9.22	Bekkelaget	Wastewater treatment plant		Autumn	High	high treatment, autumn																																					< 0.025	< 0.05	< 0.025	< 5								<300	<300	<210	<130	<600	<330						626.238	226.394	46.556	2.332	< 0.27	
NR-2022-06940	Air	ng/m3	59.883	10.770			28.-29.9.22	Bekkelaget	Wastewater treatment plant		Summer	High	low treatment, summer																																					< 0.025	< 0.05	< 0.025	< 5								<300	<300	<210	<130	<600	<330						774.734	208.556	48.970	3.734	0.270	
NR-2022-06941	Air	ng/m3	59.883	10.770			29.-30.9.22	Bekkelaget	Wastewater treatment plant		Autumn	High	low treatment, autumn																																					< 0.025	< 0.05	< 0.025	< 5								2322.090	11526.800	<210	<130	<600	<330						448.975	155.677	29.694	2.232	< 0.27	
NR-2022-06795	Sediment	ng/g		"N 6646841.52; E 604962.51"			10.05.2022	Brubak	Urban river					Grabb			<1	1.818	<1	<1	<1	<1	<1	2.727	<1	<1	<1	<1	40.000	<1	<1	<1	<10	<1	<1	<1	<1	<1	41.515	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1																												575.788
NR-2022-06805	Sediment	ng/g		"N 6646841.52; E 604962.51"			12.09.2022	Brubak	Urban river					Grabb			<1	<1	<1	<1	<1	<1	<1	2.000	<1	<1	<1	<1	13.429	<1	<1	<1	<10	<1	<1	<1	<1	<1	19.714	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1																		< 0.1	< 0.1	< 0.1	< 0.1	< 0.1	< 2.5	< 30	< 40	< 30	< 20	90.439
