Provenr	Medium_id	Enhet_id	Site_name	Site_Category	Comment_location	Comment_season	Comment_condition	Site_Comment	compound	value	Medium_id2	lodcount	n	det_frac	plotting	meanx
NR-2022-06794	Sediment (ng/g, d.w.)	ng/g	Breivoll	Urban river	NA	NA	NA	NA	IPPD	<1	Solids	8	8	0	NA	NA
NR-2022-06804	Sediment (ng/g, d.w.)	ng/g	Breivoll	Urban river	NA	NA	NA	NA	IPPD	<1	Solids	8	8	0	NA	NA
NR-2022-06801	Sediment (ng/g, d.w.)	ng/g	Kv?rner	Urban river	NA	NA	NA	NA	IPPD	<1	Solids	8	8	0	NA	NA
NR-2022-06806	Sediment (ng/g, d.w.)	ng/g	Kv?rner	Urban river	NA	NA	NA	NA	IPPD	<1	Solids	8	8	0	NA	NA
NR-2022-06820	Sediment (ng/g, d.w.)	ng/g	Kalbakken	Urban river	NA	NA	NA	NA	IPPD	<1	Solids	8	8	0	NA	NA
NR-2022-06815	Sediment (ng/g, d.w.)	ng/g	Kalbakken	Urban river	NA	NA	NA	NA	IPPD	<1	Solids	8	8	0	NA	NA
NR-2022-06905	Water, total (ng/L)	ng/L	Brubak	Urban river	NA	NA	Dry	Dry	IPPD	<1	Water	8	8	0	NA	NA
NR-2022-06872	Water, total (ng/L)	ng/L	Brubak	Urban river	NA	NA	Wet	?	IPPD	<1	Water	8	8	0	NA	NA
NR-2022-06906	Water, total (ng/L)	ng/L	Breivoll	Urban river	NA	NA	Dry	Dry	IPPD	<1	Water	8	8	0	NA	NA
NR-2022-06873	Water, total (ng/L)	ng/L	Breivoll	Urban river	NA	NA	Wet	?	IPPD	<1	Water	8	8	0	NA	NA
NR-2022-06907	Water, total (ng/L)	ng/L	Kv?rner	Urban river	NA	NA	Dry	Dry	IPPD	<1	Water	8	8	0	NA	NA
NR-2022-06874	Water, total (ng/L)	ng/L	Kv?rner	Urban river	NA	NA	Wet	?	IPPD	<1	Water	8	8	0	NA	NA
NR-2022-06908	Water, total (ng/L)	ng/L	Apall?kka	Urban river	NA	NA	Dry	Dry	IPPD	<1	Water	8	8	0	NA	NA
NR-2022-06875	Water, total (ng/L)	ng/L	Apall?kka	Urban river	NA	NA	Wet	?	IPPD	<1	Water	8	8	0	NA	NA
NR-2022-06870	Water, filtered (ng/L)	ng/L	Bamble_Skjerk?ya	Tyre collection site	Runoff	NA	NA	Dirty runoff from the area	IPPD	129	Water	0	3	100	129	100.2666667
NR-2022-06871	Water, filtered (ng/L)	ng/L	Bamble_Skjerk?ya	Tyre collection site	Runoff	NA	NA	Dirty runoff from the area	IPPD	123	Water	0	3	100	123	100.2666667
NR-2022-06882	Water, filtered (ng/L)	ng/L	Bamble_Skjerk?ya	Tyre collection site	Runoff	NA	NA	Dirty runoff from the area	IPPD	48.8	Water	0	3	100	48.8	100.2666667
NR-2022-06920	Water, particles (ng/L)	ng/L	Bamble_Skjerk?ya	Tyre collection site	Runoff	NA	NA	Dirty runoff from the area	IPPD	12.3	Water	0	3	100	12.3	30.8
NR-2022-06921	Water, particles (ng/L)	ng/L	Bamble_Skjerk?ya	Tyre collection site	Runoff	NA	NA	Dirty runoff from the area	IPPD	20.5	Water	0	3	100	20.5	30.8
NR-2022-00807	Water, particles (ng/L)	ng/L	Bamble_Skjerk?ya	Tyre collection site	Runoff	NA	NA	Dirty runoff from the area	IPPD	59.6	Water	0	3	100	59.6	30.8
NR-2022-06798	Sludge (ng/g, d.w.)	ng/g	Bamble_Skjerk?ya	Tyre collection site	Manhole	NA	NA	kum	IPPD	1777.419	Solids	0	3	100	1777.419	945.7503333
