Provenr	Medium_id	Enhet_id	Coordites	Vannlok_kode	Aktivitet_id	Tid_provetak	Site_me	Site_Category	Site_Comment	Season_Comment	Provetakmetode_id		Short	ABT	BTSA	MTBT	PhBT	OHBT	MBT	CPPD	6PPDq	DPPD	DNPD	IPPD	77PD	6PPD	7PPD	44PD	MTDID	NDPD	MPAMS	BPSE	PPPA	BOPA	TMMAT	DPG	TMQ	Amitryptyline	Fexofedine  	Indoxacarb	Fipronil	Cyhalothrin	OP	BPAE	TAI	TAOT	CTC_CTA	BCPS	isoTAC	TAC	4_4_ADP	TMBP	OH_BPA	BPS2	BIS_TMC	BP_8	4_HBP	TCM	DCM	TCE	PCE	CCl4	DBM	12_PFECA	112_PFECA	1112_PFECA	11112_PFECA	13_PFECA	L6	L7	L8	L9	L10	LCCP
NR-2022-06822	Granule	ng/g				???	Obos2	Artificial grass pitch	Indoor		Grabb			58.8	759	59.3	1210	3280	318	253	4270	2230	<1	2560	<1	8290	268	<1	<1	<10	<1	<1	<1	119	5100	10450	52600						1390	<10	<1	<1	< 5	< 2	12	< 2																			22	84	112	69	27	6267
NR-2022-06823	Granule	ng/g				???	LSK	Artificial grass pitch	Indoor		Grabb			58.7	1310	21.9	1400	3930	252	<1	4320	2130	<1	275	<1	7410	105	<1	<1	<10	<1	<1	<1	171	4460	9100	55350						1540	<10	<1	<1	< 5	< 2	38	< 2																			65	306	362	143	38	9887
NR-2022-06807	Sludge	ng/g				26.-29.9.22	Bekkelaget	Wastewater treatment plant	High treatment	Summer	Grabb			2.9	<1	<1	<1	16.4	<1	<1	<1	<1	<1	<1	<1	37.5	<1	<1	<1	<10	<1	<1	<1	<1	<1	29.3	37.9	<1	5	<1	<1	<1	<1	<10	<1	<1	5	< 0.2	< 0.2	< 2	0	1	<0.1	<0.0	0	1	10							< 0.1	< 0.1	< 0.1	< 0.1	< 0.1	8519	13804	21291	14046	11173	2478
NR-2022-06814	Sludge	ng/g				3.10-5.10.22	Bekkelaget	Wastewater treatment plant	High treatment	Autumn	Grabb			<1	<1	<1	<1	17.1	<1	<1	<1	<1	<1	<1	<1	63.3	<1	<1	<1	<10	<1	<1	<1	<1	<1	29	37.1	<1	4.3	<1	<1	<1	<1	<10	<1	<1	13	< 0.2	< 0.2	< 2	0	0	<0.1	<0.0	0	1	8							< 0.1	< 0.1	< 0.1	< 0.1	< 0.1	27510	44359	64888	48948	37440	2073
NR-2022-06824	Sludge	ng/g				24.11	Bekkelaget	Wastewater treatment plant	Low treatment	Summer	Grabb			<1	<1	<1	<1	<1	3.7	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	<1	4.7	<1	<1	<1	<1	<1	<1	<10	<1	<1	< 2	< 0.2	< 0.2	< 2	0	<0.1	<0.1	<0.0	<0.1	<0.2	2												125	244	355	548	2656	2273
NR-2022-06825	Sludge	ng/g				??	Bekkelaget	Wastewater treatment plant	Low treatment	Autumn	Grabb			<1	<1	<1	<1	<1	2.3	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	<1	4	<1	<1	<1	<1	<1	<1	<10	<1	<1	< 2	< 0.2	< 0.2	< 2	<0.1	<0.1	0	<0.2	<0.1	0	1												94	184	340	769	2111	2115
NR-2022-06876	Water	ng/L				44831	Bekkelaget	Wastewater treatment plant	High treatment	Summer	column			<1	165	<1	<1	23.5	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	187	231	<1	281	<1	<1	<0.1	<10	<1	<10	<1	<1	< 0.5	< 0.2	< 0.02	< 0.2	0	1	<0.3	<0.1	<0.2	0	1							< 0.5	< 0.5	< 0.5	< 0.5	< 0.5	< 2.5	< 30	< 40	< 30	< 20	
NR-2022-06877	Water	ng/L				44832	Bekkelaget	Wastewater treatment plant	High treatment	Summer	column			<1	142	<1	<1	15.8	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	192	231	<1	308	<1	<1	<0.1	<10	<1	<10	<1	<1	< 0.5	< 0.2	< 0.02	< 0.2	0	0	<0.2	<0.1	<0.1	0	1							< 0.5	< 0.5	< 0.5	< 0.5	< 0.5	< 2.5	< 30	< 40	< 30	< 20	
NR-2022-06878	Water	ng/L				44833	Bekkelaget	Wastewater treatment plant	High treatment	Summer	column			<1	130	<1	<1	12.4	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	129	179	<1	307	<1	<1	<0.1	<10	<1	<10	<1	<1	3	0	26	< 2	0	0	<0.2	<0.1	<0.1	0	1												< 2.5	< 30	< 40	< 30	< 20	
NR-2022-06899	Water	ng/L				44837	Bekkelaget	Wastewater treatment plant	High treatment	Autumn	column			<1	175	<1	<1	27.9	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	106	167	<1	278	<1	<1	<0.1	<10	<1	<10	<1	<1	3	0	30	3	<0.1	0	<1.0	<0.4	<1.6	<0.1	1																	
NR-2022-06900	Water	ng/L				44838	Bekkelaget	Wastewater treatment plant	High treatment	Autumn	column			<1	131	<1	<1	15.5	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	84.5	149	<1	323	<1	<1	<0.1	<10	<1	<10	<1	<1	4	0	48	2	<0.1	0	<0.4	<0.1	<0.2	<0.2	1																	
NR-2022-06901	Water	ng/L				44839	Bekkelaget	Wastewater treatment plant	High treatment	Autumn	column			<1	132	<1	<1	14.2	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	60.8	95.5	<1	263	<1	<1	<0.1	<10	<1	<10	<1	<1	4	0	55	3	0	1	<0.2	<0.1	<0.2	0	1																	
NR-2022-06879	Water	ng/L				44831	Bekkelaget	Wastewater treatment plant	High treatment	Summer	column			<1	99.5	<1	<1	24.8	<1	<1	<1	<1	<1	<1	<1	20.5	<1	<1	<1	<10	<1	<1	<1	<1	81.2	148	11.5	58.5	<1	<1	<0.1	<10	12	<10	<1	<1	7	0	68	< 2	<0.1	0	5	<0.3	<0.1	0	4												765	2381	4192	5796	5519	
NR-2022-06880	Water	ng/L				44832	Bekkelaget	Wastewater treatment plant	Low treatment	Summer	column			<1	68	<1	<1	18.5	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	43.8	<1	50.5	<1	<1	<0.1	<10	<1	<10	<1	<1	< 0.5	< 0.25	0	< 2.5	<0.1	<0.2	6	<0.3	<0.7	1	3												113	169	218	246	230	
NR-2022-06881	Water	ng/L				44833	Bekkelaget	Wastewater treatment plant	Low treatment	Summer	column			<1	46.5	<1	<1	12.7	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	38.5	<1	69.5	<1	<1	<0.1	<10	<1	<10	<1	<1	< 0.5	< 0.25	0	< 2.5	<0.2	1	0	<0.1	<0.7	0	3																	
NR-2022-06902	Water	ng/L				44837	Bekkelaget	Wastewater treatment plant	Low treatment	Autumn	column			<1	37.5	<1	<1	10.5	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	23.5	<1	60.5	<1	<1	<0.1	<10	<1	<10	<1	<1	10	0	87	< 2	<0.1	0	1	<0.1	<0.3	1	4																	
NR-2022-06903	Water	ng/L				44838	Bekkelaget	Wastewater treatment plant	Low treatment	Autumn	column			<1	52.5	<1	<1	15.8	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	20.5	<1	49.5	<1	<1	<0.1	<10	<1	<10	<1	<1	7	< 0.025	78	7	<0.1	0	0	<0.1	<0.4	1	3																	
NR-2022-06904	Water	ng/L				44839	Bekkelaget	Wastewater treatment plant	Low treatment	Autumn	column			<1	43.3	<1	<1	13.8	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	16.5	<1	58.5	<1	<1	<0.1	<10	<1	<10	<1	<1	11	< 0.025	79	< 2	<0.1	0	15	0	<0.5	1	3																	
NR-2022-06938	Air	ng/m3				26.-27.9.22	Bekkelaget	Wastewater treatment plant	Over bioreactor	Summer																																					< 0.025	< 0.05	< 0.025	< 5																			708	249	21	1	< 0.27	
NR-2022-06939	Air	ng/m3				27.-28.9.22	Bekkelaget	Wastewater treatment plant	Over bioreactor	Autumn																																					< 0.025	< 0.05	< 0.025	< 5																			626	226	47	2	< 0.27	
NR-2022-06940	Air	ng/m3				28.-29.9.22	Bekkelaget	Wastewater treatment plant	Over bioreactor	Summer																																					< 0.025	< 0.05	< 0.025	< 5																			775	209	49	4	0	
NR-2022-06941	Air	ng/m3				29.-30.9.22	Bekkelaget	Wastewater treatment plant	Over bioreactor	Autumn																																					< 0.025	< 0.05	< 0.025	< 5																			449	156	30	2	< 0.27	
NR-2022-06795	Sediment	ng/g	"N 6646841.52; E 604962.51"			44691	Brubak	Urban river_Al		Spring	Grabb			<1	1.8	<1	<1	<1	<1	<1	2.7	0	<1	<1	<1	40	<1	<1	<1	<10	<1	<1	<1	<1	<1	41.5	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1																												576
NR-2022-06805	Sediment	ng/g	"N 6646841.52; E 604962.51"			44816	Brubak	Urban river_Al		Autumn	Grabb			<1	<1	<1	<1	<1	<1	<1	2	0	<1	<1	<1	13.4	<1	<1	<1	<10	<1	<1	<1	<1	<1	19.7	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1																		< 0.1	< 0.1	< 0.1	< 0.1	< 0.1	< 2.5	< 30	< 40	< 30	< 20	90
NR-2022-06794	Sediment	ng/g	"N 6644278.52; E 602600.1"			44691	Breivoll	Urban river_Al		Spring	Grabb			<1	6.2	<1	1.8	5	3.5	<1	12.6	31.8	<1	<1	<1	365	<1	<1	<1	<10	<1	<1	<1	<1	<1	173	111	<1	<1	<1	<1	<1	<1	<10	<1	<1																												2338
NR-2022-06804	Sediment	ng/g	"N 6644278.52; E 602600.1"			44816	Breivoll	Urban river_Al		Autumn	Grabb			<1	5.4	<1	1.9	4.9	1.6	<1	12.4	26.8	<1	<1	<1	324	<1	<1	<1	<10	<1	<1	<1	<1	<1	168	55.7	<1	<1	<1	<1	<1	<1	<10	<1	<1																												3279
NR-2022-06801	Sediment	ng/g	"N 6642145.02; E 600216.99"			44706???	Kv?rner	Urban river_Al		Spring	Grabb			<1	2.3	<1	<1	<1	<1	<1	3.1	<1	<1	<1	<1	56	<1	<1	<1	<10	<1	<1	<1	<1	<1	84.3	6.3	<1	<1	<1	<1	<1	<1	<10	<1	<1																												470
NR-2022-06806	Sediment	ng/g	"N 6642145.02; E 600216.99"			44816	Kv?rner	Urban river_Al		Autumn	Grabb			<1	13	<1	1.5	3.3	7.9	<1	17.6	<1	<1	<1	<1	294	<1	<1	<1	<10	<1	<1	<1	<1	<1	403	54.8	<1	<1	<1	<1	<1	<1	<10	<1	<1																		< 0.1	< 0.1	< 0.1	< 0.1	< 0.1	< 2.5	< 30	< 40	< 30	< 20	4872
NR-2022-06820	Sediment	ng/g	"N 6647788.74; E 604198.27"			44868	Kalbakken	Urban river_Al		Autumn	Grabb			<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	3.8	<1	<1	<1	<10	<1	<1	<1	<1	<1	13.4	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1																		< 0.1	< 0.1	< 0.1	< 0.1	< 0.1						35
NR-2022-06815	Sediment	ng/g	"N 6647788.74; E 604198.27"			44860	Kalbakken	Urban river_Al		Autumn	Grabb			<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	3.4	<1	<1	<1	<10	<1	<1	<1	<1	<1	21.3	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1																		< 0.1	< 0.1	< 0.1	< 0.1	< 0.1						100
NR-2022-06905	Water	ng/L	"N 6646841.52; E 604962.51"			26.10.2022 kl 11.10	Brubak	Urban river_Al	Dry	Autumn	column			<1	23.5	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	8.1	<1	<1	<1	<10	<1	<1	<1	<1	25.5	21.3	<1	<1	<1	<1	<0.1	<10	<1	<10	<1	<1	< 0.5	0	1	< 2	<0.1	<0.6	<0.7	<0.2	<2.7	<0.4	<0.1	28	1425	<0.21	2	<0.6	<0.33											
NR-2022-06872	Water	ng/L	"N 6646841.52; E 604962.51"			44817	Brubak	Urban river_Al	Wet	Autumn	column			<1	121	<1	<1	10.5	<1	<1	<1	<1	<1	<1	<1	52.9	<1	<1	<1	<10	<1	<1	<1	<1	58.1	186	<1	<1	<1	<1	<0.1	<10	5.5	<10	<1	<1																												
NR-2022-06906	Water	ng/L	"N 6644278.52; E 602600.1"			26.10.2022 kl 11.30	Breivoll	Urban river_Al	Dry	Autumn	column			<1	29.5	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	7.5	<1	<1	<1	<10	<1	<1	<1	<1	<1	29.5	<1	<1	<1	<1	<0.1	<10	<1	<10	<1	<1	< 0.5	0	1	< 2	<0.1	<0.5	<0.6	<0.2	<0.5	<0.3	<0.1	51	1382	<0.21	1	<0.6	1											
NR-2022-06873	Water	ng/L	"N 6644278.52; E 602600.1"			44817	Breivoll	Urban river_Al	Wet	Autumn	column			<1	213	<1	<1	17.9	<1	<1	<1	<1	<1	<1	<1	20.5	<1	<1	<1	<10	<1	<1	<1	<1	90.5	268	<1	<1	<1	<1	<0.1	<10	11	<10	<1	<1																												
NR-2022-06907	Water	ng/L	"N 6642145.02; E 600216.99"			26.10.2022 kl 11.55	Kv?rner	Urban river_Al	Dry	Autumn	column			<1	44.5	<1	<1	8.1	<1	<1	<1	<1	<1	<1	<1	14.5	<1	<1	<1	<10	<1	<1	<1	<1	40.9	42.8	<1	<1	<1	<1	<0.1	<10	<1	<10	<1	<1	< 0.5	0	1	< 2	<0.1	<0.3	<0.4	<0.2	<0.3	<0.2	<0.1	25	1327	<0.21	1	<0.6	<0.33											
NR-2022-06874	Water	ng/L	"N 6642145.02; E 600216.99"			44817	Kv?rner	Urban river_Al	Wet	Autumn	column			<1	130	<1	<1	9.2	<1	<1	<1	<1	<1	<1	<1	22.5	<1	<1	<1	<10	<1	<1	<1	<1	<1	141	<1	<1	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2022-06908	Water	ng/L				26.10.2022 kl 10.30	Apall?kka	Urban river_Al	Dry	Autumn	column			<1	52.9	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	84.5	28.1	<1	<1	<1	<1	<0.1	<10	<1	<10	<1	<1	< 0.5	< 0.025	1	< 2	<0.1	<0.7	<0.8	<0.3	<0.4	<0.4	<0.1	<0.3	<0.3	<0.21	0.13	<0.6	<0.33											
NR-2022-06875	Water	ng/L				44817	Apall?kka	Urban river_Al	Wet	Autumn	column			<1	74.6	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1	<1	<1	<1	31.5	<1	<1	<1	<1	<0.1	<10	<1	<10	<1	<1																												
NR-2023-02387	Water	ng/L	"N 6642145.02; E 600216.99"			44984	Kv?rner	Urban river_Al	extra sample VOC	Winter	special bottle																																				< 0.5	0	4	3								<0.3	<0.3	<0.21	<0.13	<0.6	<0.33	< 0.5	< 0.5	< 0.5	< 0.5	< 0.5	< 2.5	< 30	< 40	< 30	< 20	
NR-2023-02388	Water	ng/L	"N 6646841.52; E 604962.51"			44984	Brubak	Urban river_Al	extra sample VOC	Winter	special bottle																																				< 0.5	0	11	3	<0.1	<0.4	<0.4	<0.1	<0.4	<0.2	<0.1	<0.3	<0.3	<0.21	<0.13	<0.6	<0.33	< 0.5	< 0.5	< 0.5	< 0.5	< 0.5	3	< 30	< 40	< 30	22	
NR-2023-02389	Water	ng/L	"N 6644278.52; E 602600.1"			44984	Breivoll	Urban river_Al	extra sample VOC	Winter	special bottle																																				< 0.5	0	2	2	<0.0	<0.4	<0.2	<0.1	<0.2	<0.1	<0.1	<0.3	<0.3	<0.21	<0.13	<0.6	<0.33	< 0.5	< 0.5	< 0.5	< 0.5	< 0.5	< 2.5	< 30	< 40	< 30	< 20	
NR-2023-02390	Water	ng/L				44984	Vesletjern	Urban river_Al	extra sample VOC	Winter	special bottle																																				< 0.5	< 0.2	< 0.02	< 0.2	<0.1	<0.4	0	<0.1	<0.4	<0.3	<0.1	<0.3	<0.3	<0.21	<0.13	<0.6	<0.33	< 0.5	< 0.5	< 0.5	< 0.5	< 0.5	< 2.5	< 30	42	58	34	
NR-2022-06870	Water	ng/L	59.059745, 9.638333			44812	Bamble_Skjerk?ya	Tire collection site	Dirty runoff from the area		same LIMS for column and particle			21.1	16350	70.5	15.5	2535	21.5	<1	476	119	<1	129	<1	2675	<1	<1	<1	<10	<1	<1	<1	<1	5060	3655	1840										< 0.5	< 0.025	120	< 2	26	68	204	2	<0.3	1	99																	
NR-2022-06871	Water	ng/L	59.059745, 9.638333			44812	Bamble_Skjerk?ya	Tire collection site	Dirty runoff from the area		same LIMS for column and particle			31.5	23800	66.5	13.5	3905	17.5	<1	363	65.5	<1	123	<1	2115	<1	<1	<1	<10	<1	<1	<1	<1	5275	3955	1255										< 0.5	< 0.025	56	81	22	104	348	4	<0.3	0	93												< 2.5	< 30	< 40	< 30	< 20	
NR-2022-06882	Water	ng/L	59.059745, 9.638333			44833	Bamble_Skjerk?ya	Tire collection site	Dirty runoff from the area		same LIMS for column and particle			29.5	31650	82.8	6.5	4490	16.9	<1	229	48.9	<1	48.8	<1	980	<1	<1	<1	<10	<1	<1	<1	<1	4845	6275	322.5										< 0.5	< 0.25	< 0.25	< 2.5	22	65	29	<1.0	<3.9	<1.0	47																	
NR-2022-06920	Particle	ng/L	59.059745, 9.638333			44812	Bamble_Skjerk?ya	Tire collection site	Dirty runoff from the area		same LIMS for column and particle			<1	<1	<1	5.5	29.5	8.3	<1	107	82.8	<1	12.3	<1	1825	<1	<1	<1	<10	<1	<1	<1	<1	439	341	920																																					
NR-2022-06921	Particle	ng/L	59.059745, 9.638333			44812	Bamble_Skjerk?ya	Tire collection site	Dirty runoff from the area		same LIMS for column and particle			<1	<1	<1	6.5	55.9	10.5	<1	191	126	<1	20.5	<1	2515	<1	<1	<1	<10	<1	<1	<1	<1	560	530	1375																																					2233
NR-2022-00807	Particle	ng/L	59.059745, 9.638333			44833	Bamble_Skjerk?ya	Tire collection site	Dirty runoff from the area		same LIMS for column and particle			<1	79.5	10.5	14	84.5	9.5	<1	580	264	<1	59.6	<1	4600	<1	<1	<1	<10	<1	<1	<1	<1	575	960	2735																																					2733
NR-2022-06798	Sludge	ng/g	59.059745, 9.638333			44812	Bamble_Skjerk?ya	Tire collection site	kum					21.3	276	10.6	299	1181	60.3	<1	2003	1635	<1	1777	<1	5306	<1	<1	<1	<10	<1	<1	<1	37.1	1277	5652	13226						497	<10	<1	<1	< 2	< 0.2	< 0.2	< 2	5	50	<0.1	0	2	2	11																	10509
NR-2022-06799	Sludge	ng/g	59.059745, 9.638333			44812	Bamble_Skjerk?ya	Tire collection site	kum					1.6	45.6	1.9	29.4	46.6	60.3	<1	282	290	<1	29.1	<1	2431	<1	<1	<1	<10	<1	<1	<1	20	185	378	3238						5.6	<10	<1	<1	< 2	< 0.2	< 0.2	< 2	0	2	<0.0	<0.0	0	2	3																	4305
NR-2022-06800	Sludge	ng/g	59.059745, 9.638333			44834	Bamble_Skjerk?ya	Tire collection site	kum					21.5	427	29.2	558	1031	171	<1	2215	2527	<1	1031	<1	7812	<1	<1	<1	<10	<1	<1	<1	49.6	2215	5496	22308						612	<10	<1	<1	< 2	< 0.2	< 0.2	< 2	3	20	<0.1	<0.2	1	1	6																	150103
NR-2022-06884	Water_filtered	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Pumpesump under vask - START					<50	6660	220	<50	3520	260	<50	990	480	<50	<50	<50	14760	<50	<50	<50	<50	<50	<50	<50	<50	15640	21400	4540										< 2	2	< 0.5	< 5	<0.1	6	<0.4	<0.1	<0.3	0	17																	
NR-2022-06923	Water	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Pumpesump under vask - START					<50	<50	<50	<50	<50	<50	<50	490	<50	<50	<50	<50	2560	<50	<50	<50	<50	<50	<50	<50	<50	<50	2640	1060										< 1	4	2	162																								8434
NR-2022-06885	Water_filtered	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Pumpesump under vask - UNDERVEIS 1					<50	5500	240	<50	4820	<50	<50	1360	920	<50	<50	<50	9540	<50	<50	<50	<50	<50	<50	<50	<50	11280	15120	3100										< 2	3	< 0.5	< 5	<0.1	6	<0.4	<0.1	<0.3	0	16																	
NR-2022-06924	Water	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Pumpesump under vask - UNDERVEIS 1					<50	<50	<50	<50	<50	<50	<50	530	<50	<50	<50	<50	3080	<50	<50	<50	<50	<50	<50	<50	<50	<50	2880	1100										< 1	3	3	84																								6400
NR-2022-06886	Water_filtered	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Pumpesump under vask - UNDERVEIS 2					<50	64080	1760	<50	8640	<50	<50	470	1760	<50	<50	<50	95200	<50	<50	<50	<50	<50	<50	<50	<50	36080	62900	24160										< 0.5	< 0.25	< 0.25	< 2.5	<0.1	1	<0.2	<0.1	<0.2	<0.1	1																	
NR-2022-06925	Water	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Pumpesump under vask - UNDERVEIS 2					<50	960	<50	<50	<50	960	<50	2320	2320	<50	<50	<50	37120	<50	<50	<50	<50	<50	<50	<50	<50	<50	20240	18080										< 1	4	3	140																								7873
NR-2022-06887	Water_filtered	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Pumpesump under vask - SLUTT 1					<50	27040	1520	<50	6160	<50	<50	2720	1120	<50	<50	<50	62480	<50	<50	<50	<50	<50	<50	<50	<50	32450	36800	16080										< 0.5	< 0.25	< 0.25	< 2.5	<0.1	1	<0.2	<0.1	<0.2	<0.1	1																	
NR-2022-06926	Water	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Pumpesump under vask - SLUTT 1					<50	<50	<50	<50	<50	<50	<50	390	<50	<50	<50	<50	4400	<50	<50	<50	<50	<50	<50	<50	<50	<50	6880	2180										< 1	< 1	< 0.25	< 5																								0
NR-2022-06888	Water_filtered	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Pumpesump under vask - SLUTT 2					<50	36480	1840	<50	7360	<50	<50	1680	960	<50	<50	<50	65760	<50	<50	<50	<50	<50	<50	<50	<50	28320	46250	8720														<0.1	1	0	<0.1	<0.1	<0.1	1																	
NR-2022-06927	Water	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Pumpesump under vask - SLUTT 2					<50	1040	<50	<50	<50	<50	<50	2080	1920	<50	<50	<50	26640	<50	<50	<50	<50	<50	<50	<50	<50	<50	17040	13440										< 1	< 1	1	7																								769
NR-2022-06889	Water_filtered	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Pumpesump under vask - SLUTT 2					<50	34960	2000	<50	6320	<50	<50	2880	<50	<50	<50	<50	59520	<50	<50	<50	<50	<50	<50	<50	<50	26480	41530	6960																																					
