Provenr	Medium_id	Enhet_id	Latitude	Longitude	Vannlok_kode	Aktivitet_id	Tid_provetak	Site_name	Site_Category	Comment_location	Comment_season	Comment_condition	Site_Comment	Provetakmetode_id	X	Short	compound	value	Medium_id2	Site_Category2
NR-2022-06823	Granule (ng/g, w.w.)	ng/g	59.962	11.071	NA	NA	13.09.2022	LSK	Artificial grass pitch	Indoor	NA	NA	Indoor	Grabb	NA	NA	ABT	58.7	Solids	Artificial grass pitch
NR-2022-06807	Sludge (ng/g, d.w.)	ng/g	59.883	10.77	NA	NA	26.-29.9.22	Bekkelaget	Wastewater treatment plant	NA	Summer	High	Summer	Grabb	NA	NA	ABT	2.857	Solids	NA
NR-2022-06814	Sludge (ng/g, d.w.)	ng/g	59.883	10.77	NA	NA	3.10-5.10.22	Bekkelaget	Wastewater treatment plant	NA	Autumn	High	Autumn	Grabb	NA	NA	ABT	<1	Solids	NA
NR-2022-06824	Sludge (ng/g, d.w.)	ng/g	59.883	10.77	NA	NA	24.11	Bekkelaget	Wastewater treatment plant	NA	Summer	Low	Summer	Grabb	NA	NA	ABT	<1	Solids	NA
NR-2022-06825	Sludge (ng/g, d.w.)	ng/g	59.883	10.77	NA	NA	??	Bekkelaget	Wastewater treatment plant	NA	Autumn	Low	Autumn	Grabb	NA	NA	ABT	<1	Solids	NA
NR-2022-06876	Water, total (ng/L)	ng/L	59.883	10.77	NA	NA	27.09.2022	Bekkelaget	Wastewater treatment plant	NA	Summer	High	Summer	column	NA	NA	ABT	<1	NA	NA
NR-2022-06877	Water, total (ng/L)	ng/L	59.883	10.77	NA	NA	28.09.2022	Bekkelaget	Wastewater treatment plant	NA	Summer	High	Summer	column	NA	NA	ABT	<1	NA	NA
NR-2022-06878	Water, total (ng/L)	ng/L	59.883	10.77	NA	NA	29.09.2022	Bekkelaget	Wastewater treatment plant	NA	Summer	High	Summer	column	NA	NA	ABT	<1	NA	NA
NR-2022-06899	Water, total (ng/L)	ng/L	59.883	10.77	NA	NA	03.10.2022	Bekkelaget	Wastewater treatment plant	NA	Autumn	High	Autumn	column	NA	NA	ABT	<1	NA	NA
NR-2022-06900	Water, total (ng/L)	ng/L	59.883	10.77	NA	NA	04.10.2022	Bekkelaget	Wastewater treatment plant	NA	Autumn	High	Autumn	column	NA	NA	ABT	<1	NA	NA
NR-2022-06901	Water, total (ng/L)	ng/L	59.883	10.77	NA	NA	05.10.2022	Bekkelaget	Wastewater treatment plant	NA	Autumn	High	Autumn	column	NA	NA	ABT	<1	NA	NA
NR-2022-06879	Water, total (ng/L)	ng/L	59.883	10.77	NA	NA	27.09.2022	Bekkelaget	Wastewater treatment plant	NA	Summer	Low	Summer	column	NA	NA	ABT	<1	NA	NA
NR-2022-06880	Water, total (ng/L)	ng/L	59.883	10.77	NA	NA	28.09.2022	Bekkelaget	Wastewater treatment plant	NA	Summer	Low	Summer	column	NA	NA	ABT	<1	NA	NA
NR-2022-06881	Water, total (ng/L)	ng/L	59.883	10.77	NA	NA	29.09.2022	Bekkelaget	Wastewater treatment plant	NA	Summer	Low	Summer	column	NA	NA	ABT	<1	NA	NA
NR-2022-06902	Water, total (ng/L)	ng/L	59.883	10.77	NA	NA	03.10.2022	Bekkelaget	Wastewater treatment plant	NA	Autumn	Low	Autumn	column	NA	NA	ABT	<1	NA	NA
NR-2022-06903	Water, total (ng/L)	ng/L	59.883	10.77	NA	NA	04.10.2022	Bekkelaget	Wastewater treatment plant	NA	Autumn	Low	Autumn	column	NA	NA	ABT	<1	NA	NA
NR-2022-06904	Water, total (ng/L)	ng/L	59.883	10.77	NA	NA	05.10.2022	Bekkelaget	Wastewater treatment plant	NA	Autumn	Low	Autumn	column	NA	NA	ABT	<1	NA	NA
NR-2022-06795	Sediment (ng/g, d.w.)	ng/g	NA	"N 6646841.52; E 604962.51"	NA	NA	10.05.2022	Brubak	Urban river	NA	NA	NA	NA	Grabb	NA	NA	ABT	<1	Solids	NA
NR-2022-06805	Sediment (ng/g, d.w.)	ng/g	NA	"N 6646841.52; E 604962.51"	NA	NA	12.09.2022	Brubak	Urban river	NA	NA	NA	NA	Grabb	NA	NA	ABT	<1	Solids	NA
NR-2022-06794	Sediment (ng/g, d.w.)	ng/g	NA	"N 6644278.52; E 602600.1"	NA	NA	10.05.2022	Breivoll	Urban river	NA	NA	NA	NA	Grabb	NA	NA	ABT	<1	Solids	NA
NR-2022-06804	Sediment (ng/g, d.w.)	ng/g	NA	"N 6644278.52; E 602600.1"	NA	NA	12.09.2022	Breivoll	Urban river	NA	NA	NA	NA	Grabb	NA	NA	ABT	<1	Solids	NA
NR-2022-06801	Sediment (ng/g, d.w.)	ng/g	NA	"N 6642145.02; E 600216.99"	NA	NA	44706???	Kv?rner	Urban river	NA	NA	NA	NA	Grabb	NA	NA	ABT	<1	Solids	NA
NR-2022-06806	Sediment (ng/g, d.w.)	ng/g	NA	"N 6642145.02; E 600216.99"	NA	NA	12.09.2022	Kv?rner	Urban river	NA	NA	NA	NA	Grabb	NA	NA	ABT	<1	Solids	NA
NR-2022-06820	Sediment (ng/g, d.w.)	ng/g	NA	"N 6647788.74; E 604198.27"	NA	NA	03.11.2022	Kalbakken	Urban river	NA	NA	NA	NA	Grabb	NA	NA	ABT	<1	Solids	NA
NR-2022-06815	Sediment (ng/g, d.w.)	ng/g	NA	"N 6647788.74; E 604198.27"	NA	NA	26.10.2022	Kalbakken	Urban river	NA	NA	NA	NA	Grabb	NA	NA	ABT	<1	Solids	NA
NR-2022-06905	Water, total (ng/L)	ng/L	NA	"N 6646841.52; E 604962.51"	NA	NA	26.10.2022 kl 11.10	Brubak	Urban river	NA	NA	Dry	Dry	column	NA	NA	ABT	<1	NA	NA
NR-2022-06872	Water, total (ng/L)	ng/L	NA	"N 6646841.52; E 604962.51"	NA	NA	44817	Brubak	Urban river	NA	NA	Wet	?	column	NA	NA	ABT	<1	NA	NA
NR-2022-06906	Water, total (ng/L)	ng/L	NA	"N 6644278.52; E 602600.1"	NA	NA	26.10.2022 kl 11.30	Breivoll	Urban river	NA	NA	Dry	Dry	column	NA	NA	ABT	<1	NA	NA
NR-2022-06873	Water, total (ng/L)	ng/L	NA	"N 6644278.52; E 602600.1"	NA	NA	44817	Breivoll	Urban river	NA	NA	Wet	?	column	NA	NA	ABT	<1	NA	NA
NR-2022-06907	Water, total (ng/L)	ng/L	NA	"N 6642145.02; E 600216.99"	NA	NA	26.10.2022 kl 11.55	Kv?rner	Urban river	NA	NA	Dry	Dry	column	NA	NA	ABT	<1	NA	NA
NR-2022-06874	Water, total (ng/L)	ng/L	NA	"N 6642145.02; E 600216.99"	NA	NA	44817	Kv?rner	Urban river	NA	NA	Wet	?	column	NA	NA	ABT	<1	NA	NA
NR-2022-06908	Water, total (ng/L)	ng/L	59.9596	10.8643	NA	NA	26.10.2022 kl 10.30	Apall?kka	Urban river	NA	NA	Dry	Dry	column	NA	NA	ABT	<1	NA	NA
NR-2022-06875	Water, total (ng/L)	ng/L	59.9596	10.8643	NA	NA	44817	Apall?kka	Urban river	NA	NA	Wet	?	column	NA	NA	ABT	<1	NA	NA
NR-2022-06870	Water, filtered (ng/L)	ng/L	59.0598	9.6383	NA	NA	44812	Bamble_Skjerk?ya	Tyre collection site	Runoff	NA	NA	Dirty runoff from the area	same LIMS for column and particle	NA	NA	ABT	21.1	NA	Tyre collection site
NR-2022-06871	Water, filtered (ng/L)	ng/L	59.0598	9.6383	NA	NA	44812	Bamble_Skjerk?ya	Tyre collection site	Runoff	NA	NA	Dirty runoff from the area	same LIMS for column and particle	NA	NA	ABT	31.5	NA	Tyre collection site
NR-2022-06882	Water, filtered (ng/L)	ng/L	59.0598	9.6383	NA	NA	44833	Bamble_Skjerk?ya	Tyre collection site	Runoff	NA	NA	Dirty runoff from the area	same LIMS for column and particle	NA	NA	ABT	29.5	NA	Tyre collection site
NR-2022-06920	Water, particles (ng/L)	ng/L	59.0598	9.6383	NA	NA	44812	Bamble_Skjerk?ya	Tyre collection site	Runoff	NA	NA	Dirty runoff from the area	same LIMS for column and particle	NA	NA	ABT	<1	NA	Tyre collection site
NR-2022-06921	Water, particles (ng/L)	ng/L	59.0598	9.6383	NA	NA	44812	Bamble_Skjerk?ya	Tyre collection site	Runoff	NA	NA	Dirty runoff from the area	same LIMS for column and particle	NA	NA	ABT	<1	NA	Tyre collection site
NR-2022-00807	Water, particles (ng/L)	ng/L	59.0598	9.6383	NA	NA	44833	Bamble_Skjerk?ya	Tyre collection site	Runoff	NA	NA	Dirty runoff from the area	same LIMS for column and particle	NA	NA	ABT	<1	NA	Tyre collection site
NR-2022-06798	Sludge (ng/g, d.w.)	ng/g	59.0598	9.6383	NA	NA	44812	Bamble_Skjerk?ya	Tyre collection site	Manhole	NA	NA	kum	NA	NA	NA	ABT	21.29	Solids	Tyre collection site
NR-2022-06799	Sludge (ng/g, d.w.)	ng/g	59.0598	9.6383	NA	NA	44812	Bamble_Skjerk?ya	Tyre collection site	Manhole	NA	NA	kum	NA	NA	NA	ABT	1.563	Solids	Tyre collection site
NR-2022-06800	Sludge (ng/g, d.w.)	ng/g	59.0598	9.6383	NA	NA	44834	Bamble_Skjerk?ya	Tyre collection site	Manhole	NA	NA	kum	NA	NA	NA	ABT	21.538	Solids	Tyre collection site
NR-2022-06884	Water, filtered (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Pump basin	NA	Start	Pumpesump under vask - START	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-06923	Water, particles (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Pump basin	NA	Start	Pumpesump under vask - START	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-06885	Water, filtered (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Pump basin	NA	During	Pumpesump under vask - UNDERVEIS 1	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-06924	Water, particles (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Pump basin	NA	During	Pumpesump under vask - UNDERVEIS 1	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-06886	Water, filtered (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Pump basin	NA	During	Pumpesump under vask - UNDERVEIS 2	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-06925	Water, particles (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Pump basin	NA	During	Pumpesump under vask - UNDERVEIS 2	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-06887	Water, filtered (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Pump basin	NA	End	Pumpesump under vask - SLUTT 1	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-06926	Water, particles (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Pump basin	NA	End	Pumpesump under vask - SLUTT 1	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-06888	Water, filtered (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Pump basin	NA	End	Pumpesump under vask - SLUTT 2	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-06927	Water, particles (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Pump basin	NA	End	Pumpesump under vask - SLUTT 2	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-06889	Water, filtered (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Pump basin	NA	End	Pumpesump under vask - SLUTT 2	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-06889	Water, particles (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Pump basin	NA	End	Pumpesump under vask - SLUTT 2	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-06912	Water, particles (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Sedimentation pool	NA	Day 14	Basseng under rensing dag 14-1	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-06913	Water, particles (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Sedimentation pool	NA	Day 14	Basseng under rensing dag 14-2	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-06914	Water, filtered (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	Start	Utslipp renset vann - START des1	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-06930	Water, particles (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	Start	Utslipp renset vann - START des1	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-06915	Water, filtered (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	Start	Utslipp renset vann - START des2	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-06931	Water, particles (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	Start	Utslipp renset vann - START des2	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-06916	Water, filtered (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	During	Utslipp renset vann - UNDERVEIS 1	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-06932	Water, particles (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	During	Utslipp renset vann - UNDERVEIS 1	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-06917	Water, filtered (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	During	Utslipp renset vann - UNDERVEIS 2	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-06933	Water, particles (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	During	Utslipp renset vann - UNDERVEIS 2	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-06918	Water, filtered (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	End	Utslipp renset vann - SLUTT 1	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-00523	Water, particles (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	End	Utslipp renset vann - SLUTT 1	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-06919	Water, filtered (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	End	Utslipp renset vann - SLUTT 2	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-00524	Water, particles (ng/L)	ng/L	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	End	Utslipp renset vann - SLUTT 2	NA	NA	NA	ABT	<50	NA	Tunnel environment
NR-2022-06808	Sludge (ng/g, d.w.)	ng/g	59.937	10.6813	NA	NA	NA	Smestadtunnelen	Tunnel environment	Sandtrap	NA	Inlet	Sandfang innl?p	NA	NA	NA	ABT	<1	Solids	Tunnel environment
NR-2022-06809	Sludge (ng/g, d.w.)	ng/g	59.937	10.6813	NA	NA	NA	Smestadtunnelen	Tunnel environment	Sandtrap	NA	Inlet	Sandfang innl?p	NA	NA	NA	ABT	<1	Solids	Tunnel environment
NR-2022-06810	Sludge (ng/g, d.w.)	ng/g	59.937	10.6813	NA	NA	NA	Smestadtunnelen	Tunnel environment	Sandtrap	NA	Outlet	Sandfang utl?p	NA	NA	NA	ABT	<1	Solids	Tunnel environment
NR-2022-06811	Sludge (ng/g, d.w.)	ng/g	59.937	10.6813	NA	NA	NA	Smestadtunnelen	Tunnel environment	Sandtrap	NA	Outlet	Sandfang utl?p	NA	NA	NA	ABT	<1	Solids	Tunnel environment
NR-2022-06826	Sludge (ng/g, d.w.)	ng/g	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Sedimentation pool	NA	NA	Rensebasseng	NA	NA	NA	ABT	1.875	Solids	Tunnel environment
NR-2022-06827	Sludge (ng/g, d.w.)	ng/g	59.9055	10.7854	NA	NA	NA	V?lerengatunnelen	Tunnel environment	Sedimentation pool	NA	NA	Rensebasseng	NA	NA	NA	ABT	2.121	Solids	Tunnel environment
NR-2022-06812	Sludge (ng/g, d.w.)	ng/g	59.937	10.6813	NA	NA	NA	Smestadtunnelen	Tunnel environment	Sweeping and vacuuming truck	NA	NA	Smestad feiebil	NA	NA	NA	ABT	<1	Solids	Tunnel environment
NR-2022-06813	Sludge (ng/g, d.w.)	ng/g	59.937	10.6813	NA	NA	NA	Smestadtunnelen	Tunnel environment	Sweeping and vacuuming truck	NA	NA	Smestad feiebil	NA	NA	NA	ABT	<1	Solids	Tunnel environment
NR-2022-06797	Sediment (ng/g, d.w.)	ng/g	59.9553	10.6796	NA	NA	44802	Smestaddammen	Urban pond	Recipient pond_upper	NA	NA	?vre	NA	NA	NA	ABT	<1	Solids	Tunnel environment
NR-2022-06796	Sediment (ng/g, d.w.)	ng/g	59.9324	10.6976	NA	NA	44802	Smestaddammen	Urban pond	Recipient pond_lower	NA	NA	nedre	NA	NA	NA	ABT	<1	Solids	Tunnel environment
NR-2022-06866	Water, filtered (ng/L)	ng/L	59.9553	10.6796	NA	NA	44802	Smestaddammen	Urban pond	Recipient pond_upper	NA	NA	?vre	NA	NA	NA	ABT	0.7	NA	Tunnel environment
NR-2022-06868	Water, particles (ng/L)	ng/L	59.9553	10.6796	NA	NA	44802	Smestaddammen	Urban pond	Recipient pond_upper	NA	NA	?vre	NA	NA	NA	ABT	<0.5	NA	Tunnel environment
NR-2022-06867	Water, filtered (ng/L)	ng/L	59.9324	10.6976	NA	NA	44802	Smestaddammen	Urban pond	Recipient pond_lower	NA	NA	nedre	NA	NA	NA	ABT	0.6	NA	Tunnel environment
NR-2022-06869	Water, particles (ng/L)	ng/L	59.9324	10.6976	NA	NA	44802	Smestaddammen	Urban pond	Recipient pond_lower	NA	NA	nedre	NA	NA	NA	ABT	<0.5	NA	Tunnel environment
NR-2022-07074	Biota (ng/g, w.w.)	ng/g ww	59.8225	10.3537	NA	NA	44803	Padderudvannet	Recipient	Freshwater	NA	Perch liver and filet	abbor - lever	NA	NA	NA	ABT	<0.5	Biota	NA
NR-2022-07075	Biota (ng/g, w.w.)	ng/g ww	59.8235	10.3556	NA	NA	44803	Padderudvannet	Recipient	Freshwater	NA	Perch liver and filet	abbor - lever	NA	NA	NA	ABT	<0.5	Biota	NA
NR-2022-07076	Biota (ng/g, w.w.)	ng/g ww	59.8239	10.3583	NA	NA	44803	Padderudvannet	Recipient	Freshwater	NA	Perch liver and filet	abbor - lever	NA	NA	NA	ABT	<0.5	Biota	NA
NR-2022-07077	Biota (ng/g, w.w.)	ng/g ww	59.8235	10.3556	NA	NA	44803	Padderudvannet	Recipient	Freshwater	NA	Duck mussel	andemusling	NA	NA	NA	ABT	<0.5	Biota	NA
NR-2022-07078	Biota (ng/g, w.w.)	ng/g ww	59.8235	10.3556	NA	NA	44803	Padderudvannet	Recipient	Freshwater	NA	Duck mussel	andemusling	NA	NA	NA	ABT	<0.5	Biota	NA
NR-2022-07079	Biota (ng/g, w.w.)	ng/g ww	59.8235	10.3556	NA	NA	44803	Padderudvannet	Recipient	Freshwater	NA	Duck mussel	andemusling	NA	NA	NA	ABT	<0.5	Biota	NA
NR-2022-07019	Dust (ng/g, w.w.)	ng/g	59.0598	9.6383	NA	NA	44833	Bamble_Skjerk?ya	Tyre collection site	Outdoor surface	Near shredder	NA	Hus n?r skredder	NA	NA	NA	ABT	15.727	Air	Tyre collection site
NR-2022-07020	Dust (ng/g, w.w.)	ng/g	59.0598	9.6383	NA	NA	44833	Bamble_Skjerk?ya	Tyre collection site	Outdoor surface	Outside workshop	NA	Utenfor verksted	NA	NA	NA	ABT	<10	Air	Tyre collection site
NR-2022-07021	Dust (ng/g, w.w.)	ng/g	59.0598	9.6383	NA	NA	44833	Bamble_Skjerk?ya	Tyre collection site	Outdoor surface	Near grab	NA	Ved grabbene	NA	NA	NA	ABT	<10	Air	Tyre collection site
NR-2022-07004	Dust (ng/g, w.w.)	ng/g	59.9281	10.7671	NA	NA	22.02.2022	Residental 1	Private home	Private home	NA	NA	Bolig1	NA	NA	NA	ABT	<10	Air	Private homes
NR-2022-07006	Dust (ng/g, w.w.)	ng/g	59.8342	11.1395	NA	NA	27.06.2022	Residental 3	Private home	Private home	NA	NA	Bolig3	NA	NA	NA	ABT	<10	Air	Private homes
NR-2022-07007	Dust (ng/g, w.w.)	ng/g	60.0154	11.0301	NA	NA	29.06.2022	Residental 4	Private home	Private home	NA	NA	Bolig4	NA	NA	NA	ABT	<10	Air	Private homes
NR-2022-07008	Dust (ng/g, w.w.)	ng/g	59.9847	11.2424	NA	NA	15.07.2022	Residental 5	Private home	Private home	NA	NA	Bolig5	NA	NA	NA	ABT	<10	Air	Private homes
NR-2022-07009	Dust (ng/g, w.w.)	ng/g	60.0719	10.9979	NA	NA	44782	Residental 6	Private home	Private home	NA	NA	Bolig6	NA	NA	NA	ABT	<10	Air	Private homes
NR-2022-07010	Dust (ng/g, w.w.)	ng/g	59.9346	10.9362	NA	NA	17.08.2022	Residental 7	Private home	Private home	NA	NA	Bolig7	NA	NA	NA	ABT	<10	Air	Private homes
NR-2022-07022	Dust (ng/g, w.w.)	ng/g	59.9318	10.7417	NA	NA	44905	Dental clinic 1	Commercial building	Dental clinic	NA	NA	Tannklinikk1	NA	NA	NA	ABT	<10	Air	NA
NR-2022-07023	Dust (ng/g, w.w.)	ng/g	60.1208	11.4638	NA	NA	31.10.2022	Dental clinic 2	Commercial building	Dental clinic	NA	NA	Tannklinikk2	NA	NA	NA	ABT	<10	Air	NA
NR-2022-07024	Dust (ng/g, w.w.)	ng/g	59.8496	10.831	NA	NA	44845	Dental clinic 3	Commercial building	Dental clinic	NA	NA	Tannklinikk3	NA	NA	NA	ABT	<10	Air	NA
NR-2022-07013	Dust (ng/g, w.w.)	ng/g	59.9112	10.7523	NA	NA	14.09.2022	3D-printing 1	Commercial building	Printing 3D	NA	NA	3D-print1	NA	NA	NA	ABT	<10	Air	NA
NR-2022-07014	Dust (ng/g, w.w.)	ng/g	59.942	10.717	NA	NA	44784	3D-printing 2	Commercial building	Printing 3D	NA	NA	3D-print2	NA	NA	NA	ABT	<10	Air	NA
NR-2022-07015	Dust (ng/g, w.w.)	ng/g	59.9358	10.8128	NA	NA	44631	3D-printing 3	Commercial building	Printing 3D	NA	NA	3D-print3	NA	NA	NA	ABT	<10	Air	NA
NR-2022-07016	Dust (ng/g, w.w.)	ng/g	59.9336	10.8719	NA	NA	24.08.2022	Furniture store 1	Commercial building	Furniture store	NA	NA	M?belvarehus1	NA	NA	NA	ABT	<10	Air	NA
NR-2022-07017	Dust (ng/g, w.w.)	ng/g	59.9336	10.8719	NA	NA	24.08.2022	Furniture store 2	Commercial building	Furniture store	NA	NA	M?belvarehus2	NA	NA	NA	ABT	<10	Air	NA
NR-2022-07018	Dust (ng/g, w.w.)	ng/g	60.1208	11.4638	NA	NA	26.10.2022	Furniture store 3	Commercial building	Furniture store	NA	NA	M?belvarehus3	NA	NA	NA	ABT	<10	Air	NA
NR-2022-06978	Air (ng/m^3)	ng/m3	59.9232	10.7635	NA	NA	6-9/9-2022	Sofienbergparken	Urban park	NA	Summer	Weekday	Sofienbergparken ukedag sommer	NA	NA	NA	ABT	<10	Air	NA
NR-2022-06967	Air, particles (ng/m^3)	ng/m3	59.9232	10.7635	NA	NA	6-9/9-2022	Sofienbergparken	Urban park	NA	Summer	Weekday	Sofienbergparken ukedag sommer	NA	NA	NA	ABT	<10	Air	NA
NR-2022-06979	Air (ng/m^3)	ng/m3	59.9232	10.7635	NA	NA	9-13/9-2022	Sofienbergparken	Urban park	NA	Summer	Weekend	Sofienbergparken helg sommer	NA	NA	NA	ABT	<10	Air	NA
NR-2022-06968	Air, particles (ng/m^3)	ng/m3	59.9232	10.7635	NA	NA	9-13/9-2023	Sofienbergparken	Urban park	NA	Summer	Weekend	Sofienbergparken helg sommer	NA	NA	NA	ABT	<10	Air	NA
