Group	ID	Part2	Part1	Extra
SVOC	SYLKL	2	1	Scre23
SVOC	SEROLD	2	1	Scre23
SVOC	DIUDP	2	1	Scre23
SVOC	EMOPCC	2	1	Scre23
SVOC	CTCVB	2	1	Scre23
SVOC	DCTCVB	2	1	Scre23
SVOC	TCTDT	2	1	Scre23
SVOC	ETTSDD	2	1	Scre23
SVOC	MPSHDOSD	2	1	Scre23
SVOC	HOTMIKA	2	1	Scre23
SVOC	BSAN	2	1	Scre23
TOF	F-TOT	2		Extra
Triazine	UV310		1	Scre23
Triazine	UV1164		1	Scre23
Triazine	BEMT		1	Scre23
Triazine	UV1577		1	Scre23
Triazine	TBHPT		1	Scre23
Triazine	TBRPT		1	Scre23
Triazine	UV1579		1	Scre23
Triazine	DPDT		1	Scre23
Triazine	DBPCLT		1	Scre23
Triazine	23BPDT		1	Scre23
Triazine	22BPDT		1	Scre23
Triazine	TBPHT		1	Scre23
Triazine	DMPTDPP		1	Scre23
Triazine	DMPTTPP		1	Scre23
UV	HOMO	2		Extra
UV	BP3	2		Extra
UV	EHMCZ	2		Extra
UV	EHMC	2		Extra
UV	UV329	2		Extra
UV	UV328	2		Extra
UV	UV327	2		Extra
UV	OCTOC	2		Extra
